央 视,#genre#
CCTV-1,http://111.20.33.70/PLTV/88888893/224/3221226231/index.m3u8
CCTV-1,http://111.20.33.70/PLTV/88888893/224/3221226239/index.m3u8
CCTV-1,http://111.20.33.70/PLTV/88888893/224/3221226457/index.m3u8
CCTV-2财经频道,http://111.20.33.70/PLTV/88888893/224/3221226195/index.m3u8
CCTV-2财经频道,http://111.20.33.70/PLTV/88888893/224/3221226224/index.m3u8
CCTV-3综艺频道,http://111.20.33.70/PLTV/88888893/224/3221226397/index.m3u8
CCTV-4中文国际,http://111.20.33.70/PLTV/88888893/224/3221226191/index.m3u8
CCTV-4中文国际,http://111.20.33.70/PLTV/88888893/224/3221226223/index.m3u8
CCTV-5体育频道,http://111.20.33.70/PLTV/88888893/224/3221226395/index.m3u8
CCTV5+体育赛事,http://111.20.33.70/PLTV/88888893/224/3221226221/index.m3u8
CCTV-6电影频道,http://111.20.33.70/PLTV/88888893/224/3221226011/index.m3u8
CCTV-6电影频道,http://111.20.33.70/PLTV/88888893/224/3221226393/index.m3u8
CCTV-7国防军事频道,http://111.20.33.70/PLTV/88888893/224/3221226192/index.m3u8
CCTV-7国防军事频道,http://111.20.33.70/PLTV/88888893/224/3221226248/index.m3u8
CCTV-8电视剧频道,http://111.20.33.70/PLTV/88888893/224/3221226391/index.m3u8
CCTV-9纪录频道,http://111.20.33.70/PLTV/88888893/224/3221226197/index.m3u8
CCTV-10科教频道,http://111.20.33.70/PLTV/88888893/224/3221226189/index.m3u8
CCTV-11戏曲频道,http://111.20.33.70/PLTV/88888893/224/3221226240/index.m3u8
CCTV-12社会与法频道,http://111.20.33.70/PLTV/88888893/224/3221226190/index.m3u8
CCTV-13新闻频道,http://111.20.33.70/PLTV/88888893/224/3221226233/index.m3u8
CCTV-14少儿频道,http://111.20.33.70/PLTV/88888893/224/3221226193/index.m3u8
CCTV-16奥林匹克,http://111.20.33.70/PLTV/88888893/224/3221226921/index.m3u8
CCTV-17农业农村,http://111.20.33.70/PLTV/88888893/224/3221226198/index.m3u8
CCTV-17农业农村,http://111.20.33.70/PLTV/88888893/224/3221226208/index.m3u8
CCTV老故事,http://111.20.33.70/PLTV/88888893/224/3221226236/index.m3u8
CCTV发现之旅,http://111.20.33.70/PLTV/88888893/224/3221226235/index.m3u8
CCTV时尚,http://111.20.33.70/PLTV/88888893/224/3221226237/index.m3u8
CETV-3,http://111.20.33.70/PLTV/88888893/224/3221226226/index.m3u8
CETV-4,http://111.20.33.70/PLTV/88888893/224/3221226225/index.m3u8
移动卫视,#genre#
黑龙江卫视,http://111.20.33.70/PLTV/88888893/224/3221226215/index.m3u8
辽宁卫视，http://111.20.33.70/PLTV/88888893/224/3221226201/index.m3u8
辽宁卫视,http://111.20.33.70/PLTV/88888893/224/3221226210/index.m3u8
延边卫视,http://111.20.33.70/PLTV/88888893/224/3221226220/index.m3u8
北京卫视,http://111.20.33.70/PLTV/88888893/224/3221226222/index.m3u8
天津卫视,http://111.20.33.70/PLTV/88888893/224/3221226204/index.m3u8
安徽卫视,http://111.20.33.70/PLTV/88888893/224/3221226196/index.m3u8
安徽卫视,http://111.20.33.70/PLTV/88888893/224/3221226203/index.m3u8
山东教育卫视,http://111.20.33.70/PLTV/88888893/224/3221226238/index.m3u8
山东卫视,http://111.20.33.70/PLTV/88888893/224/3221226209/index.m3u8
安多卫视,http://111.20.33.70/PLTV/88888893/224/3221226228/index.m3u8
西藏卫视,http://111.20.33.70/PLTV/88888893/224/3221226212/index.m3u8
重庆卫视,http://111.20.33.70/PLTV/88888893/224/3221226202/index.m3u8
康巴卫视,http://111.20.33.70/PLTV/88888893/224/3221226234/index.m3u8
江苏卫视,http://111.20.33.70/PLTV/88888893/224/3221226200/index.m3u8
浙江卫视,http://111.20.33.70/PLTV/88888893/224/3221226199/index.m3u8
东方卫视,http://111.20.33.70/PLTV/88888893/224/3221226217/index.m3u8
厦门卫视,http://111.20.33.70/PLTV/88888893/224/3221226219/index.m3u8
冬奥纪实,http://111.20.33.70/PLTV/88888893/224/3221226232/index.m3u8
湖北卫视,http://111.20.33.70/PLTV/88888893/224/3221226194/index.m3u8
湖北卫视,http://111.20.33.70/PLTV/88888893/224/3221226206/index.m3u8
湖南卫视,http://111.20.33.70/PLTV/88888893/224/3221226211/index.m3u8
广东卫视,http://111.20.33.70/PLTV/88888893/224/3221226216/index.m3u8
深圳卫视,http://111.20.33.70/PLTV/88888893/224/3221226205/index.m3u8
农林卫视,http://111.20.33.70/PLTV/88888893/224/3221226229/index.m3u8
南方卫视,http://111.20.33.70/PLTV/88888893/224/3221226218/index.m3u8
兵团卫视,http://111.20.33.70/PLTV/88888893/224/3221226214/index.m3u8
江苏卫视,https://live.goodiptv.club/api/bestv.php?id=jswshd8m/8000000
广西卫视,https://live.goodiptv.club/api/bestv.php?id=gxwshd8m/8000000
四川卫视,https://live.goodiptv.club/api/bestv.php?id=scwshd/8000000
